incident_id,timestamp,customer_id,session_id,device_type,traffic_source,country,region,customer_segment,order_value,currency,payment_method,card_network,payment_attempt_number,payment_failure_reason,friction_type,baseline_conversion_probability,predicted_probability,model_confidence,treatment_group,intervention_type,discount_percent,discount_amount,expected_net_income,intervention_cost,recovered,recovered_gmv,incremental_gmv,revenue_saved,time_to_recovery_seconds,model_version,experiment_id
CHK_000013,2026-06-20T07:29:27Z,CUST_000316,SES_73108096,desktop,paid_search,IN,TN,new,2400.0,INR,upi,None,1,authentication_failure,technical,0.046,0.23,0.89,treatment,payment_retry,0.0,0.0,317.16,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000014,2026-06-20T08:00:22Z,CUST_001971,SES_76845530,mobile,direct,IN,KA,returning,12500.0,INR,debit_card,Mastercard,1,expired_card,payment,0.06,0.321,0.93,treatment,personalized_offer,0.0,0.0,1888.5,10.0,1,12500.0,10133.06,4740.0,463,v4.1.0-beta,EXP_001
CHK_000015,2026-06-20T08:09:49Z,CUST_000717,SES_36856631,desktop,organic,IN,WB,new,2550.0,INR,debit_card,Visa,1,bank_decline,payment,0.016,0.296,0.86,treatment,alternative_payment,0.0,0.0,435.74,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000016,2026-06-20T08:33:20Z,CUST_002273,SES_74870032,mobile,direct,IN,UP,returning,5150.0,INR,upi,None,2,technical_error,technical,0.088,0.343,0.84,treatment,payment_retry,0.0,0.0,722.36,20.0,1,5150.0,3774.17,1937.0,895,v4.1.0-beta,EXP_001
CHK_000017,2026-06-20T08:47:27Z,CUST_001825,SES_70058853,mobile,paid_search,IN,TN,price_sensitive,1200.0,INR,credit_card,Visa,1,bank_decline,payment,0.012,0.407,0.94,treatment,alternative_payment,0.0,0.0,211.64,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000018,2026-06-20T08:55:12Z,CUST_000439,SES_35345434,mobile,paid_search,IN,TN,new,4150.0,INR,bnpl,None,1,authentication_failure,technical,0.04,0.042,0.93,control,none,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,,v4.1.0-beta,EXP_001
CHK_000019,2026-06-20T09:14:52Z,CUST_001715,SES_49892125,mobile,organic,IN,DL,new,3250.0,INR,upi,None,2,technical_error,technical,0.043,0.298,0.88,treatment,payment_retry,0.0,0.0,419.75,20.0,1,3250.0,2739.68,1215.0,257,v4.1.0-beta,EXP_001
CHK_000020,2026-06-20T09:59:19Z,CUST_003760,SES_81622276,mobile,direct,IN,UP,new,2350.0,INR,credit_card,Amex,2,customer_abandonment,price,0.035,0.389,0.88,treatment,6_percent_discount,0.06,141.0,389.3,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000021,2026-06-20T10:00:30Z,CUST_001688,SES_76587940,mobile,paid_search,IN,MH,new,4700.0,INR,upi,None,2,authentication_failure,technical,0.048,0.259,0.93,treatment,payment_retry,0.0,0.0,606.73,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000022,2026-06-20T10:09:27Z,CUST_001574,SES_43811421,mobile,paid_search,IN,DL,returning,8300.0,INR,credit_card,Visa,1,customer_abandonment,price,0.072,0.285,0.76,treatment,personalized_offer,0.0,0.0,1090.12,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000023,2026-06-20T10:31:20Z,CUST_001464,SES_59734122,desktop,social,IN,WB,new,2750.0,INR,upi,None,1,technical_error,technical,0.041,0.251,0.91,treatment,payment_retry,0.0,0.0,447.69,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000024,2026-06-20T10:35:34Z,CUST_001017,SES_96653193,mobile,direct,IN,MH,new,2150.0,INR,net_banking,None,1,customer_abandonment,price,0.027,0.246,0.76,treatment,personalized_offer,0.0,0.0,288.01,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000025,2026-06-20T10:46:36Z,CUST_001225,SES_67053754,desktop,paid_search,IN,TG,new,7900.0,INR,debit_card,RuPay,1,customer_abandonment,price,0.033,0.28,0.82,treatment,4_percent_discount,0.04,316.0,1206.48,25.0,1,7584.0,6865.97,2661.0,440,v4.1.0-beta,EXP_001
CHK_000026,2026-06-20T10:48:36Z,CUST_001891,SES_47507645,desktop,direct,IN,KA,new,2950.0,INR,upi,None,1,customer_abandonment,price,0.033,0.216,0.76,treatment,urgency_message,0.0,0.0,347.49,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000027,2026-06-20T10:49:20Z,CUST_001488,SES_54613556,mobile,direct,IN,TG,new,1650.0,INR,debit_card,RuPay,1,bank_decline,payment,0.012,0.321,0.94,treatment,alternative_payment,0.0,0.0,273.95,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000028,2026-06-20T10:57:13Z,CUST_000622,SES_74830370,mobile,organic,IN,MH,new,3850.0,INR,credit_card,Mastercard,1,bank_decline,payment,0.012,0.253,0.85,treatment,personalized_offer,0.0,0.0,624.15,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000029,2026-06-20T11:25:14Z,CUST_001243,SES_47989741,desktop,paid_search,IN,KA,new,2250.0,INR,wallet,None,2,insufficient_funds,payment,0.024,0.252,0.83,treatment,payment_retry,0.0,0.0,302.51,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000030,2026-06-20T11:28:24Z,CUST_000303,SES_28325122,mobile,organic,IN,TN,new,7950.0,INR,credit_card,Visa,1,customer_abandonment,price,0.027,0.215,0.76,treatment,urgency_message,0.0,0.0,1039.26,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000031,2026-06-20T11:29:18Z,CUST_001336,SES_63844383,mobile,email,IN,MH,high_value,18700.0,INR,debit_card,RuPay,1,customer_abandonment,price,0.062,0.332,0.88,treatment,6_percent_discount,0.06,1122.0,2758.37,25.0,1,17578.0,14683.94,5959.0,365,v4.1.0-beta,EXP_001
CHK_000032,2026-06-20T11:33:06Z,CUST_001940,SES_76502234,mobile,email,IN,KA,returning,2400.0,INR,upi,None,1,authentication_failure,technical,0.085,0.423,0.83,treatment,payment_retry,0.0,0.0,306.82,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000033,2026-06-20T11:36:10Z,CUST_000867,SES_78922435,desktop,paid_search,IN,TG,price_sensitive,1800.0,INR,debit_card,Visa,1,insufficient_funds,payment,0.013,0.243,0.83,treatment,alternative_payment,0.0,0.0,252.53,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000034,2026-06-20T11:53:19Z,CUST_001683,SES_96657686,mobile,organic,IN,TG,returning,4500.0,INR,credit_card,Visa,3,expired_card,payment,0.068,0.284,0.89,treatment,personalized_offer,0.0,0.0,615.88,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000035,2026-06-20T11:55:22Z,CUST_004238,SES_12129250,desktop,organic,IN,TG,new,3600.0,INR,debit_card,Visa,2,customer_abandonment,price,0.041,0.278,0.77,treatment,personalized_offer,0.0,0.0,527.85,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000036,2026-06-20T12:26:31Z,CUST_000606,SES_61284311,mobile,direct,IN,MH,high_value,44700.0,INR,debit_card,Visa,1,customer_abandonment,price,0.062,0.082,0.83,control,none,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,,v4.1.0-beta,EXP_001
CHK_000037,2026-06-20T12:28:37Z,CUST_000416,SES_63958432,desktop,paid_search,IN,UP,returning,15600.0,INR,credit_card,Amex,1,bank_decline,payment,0.061,0.413,0.89,treatment,alternative_payment,0.0,0.0,2774.59,20.0,1,15600.0,13319.75,5908.0,97,v4.1.0-beta,EXP_001
CHK_000038,2026-06-20T12:39:00Z,CUST_001970,SES_76751113,mobile,organic,IN,MH,price_sensitive,1500.0,INR,credit_card,Visa,1,customer_abandonment,price,0.024,0.408,0.81,treatment,8_percent_discount,0.08,120.0,243.49,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000039,2026-06-20T12:40:19Z,CUST_000455,SES_96229404,desktop,social,IN,TN,new,1900.0,INR,credit_card,Visa,1,authentication_failure,technical,0.046,0.259,0.86,treatment,payment_retry,0.0,0.0,249.08,20.0,1,1900.0,1564.07,702.0,31,v4.1.0-beta,EXP_001
CHK_000040,2026-06-20T12:44:41Z,CUST_000844,SES_74458805,mobile,direct,IN,TN,returning,7650.0,INR,upi,None,1,authentication_failure,technical,0.085,0.305,0.87,treatment,payment_retry,0.0,0.0,1014.05,20.0,1,7650.0,5552.95,2887.0,267,v4.1.0-beta,EXP_001
CHK_000041,2026-06-20T12:51:52Z,CUST_000734,SES_83523006,desktop,direct,IN,TN,new,3950.0,INR,upi,None,3,authentication_failure,technical,0.054,0.25,0.82,treatment,payment_retry,0.0,0.0,554.02,20.0,1,3950.0,3179.75,1481.0,363,v4.1.0-beta,EXP_001
CHK_000042,2026-06-20T12:53:26Z,CUST_000233,SES_90559070,mobile,direct,IN,DL,new,4300.0,INR,upi,None,1,technical_error,technical,0.035,0.378,0.9,treatment,payment_retry,0.0,0.0,630.15,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000043,2026-06-20T12:53:34Z,CUST_001420,SES_27953511,mobile,social,IN,TN,new,4800.0,INR,credit_card,Amex,1,authentication_failure,technical,0.04,0.271,0.92,treatment,payment_retry,0.0,0.0,719.12,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000044,2026-06-20T12:59:42Z,CUST_000243,SES_81380392,mobile,paid_search,IN,KA,returning,5700.0,INR,upi,None,2,customer_abandonment,price,0.08,0.367,0.81,treatment,8_percent_discount,0.08,456.0,969.19,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000045,2026-06-20T13:06:27Z,CUST_001253,SES_69257443,mobile,direct,IN,MH,price_sensitive,2750.0,INR,upi,None,1,authentication_failure,technical,0.037,0.255,0.91,treatment,payment_retry,0.0,0.0,384.85,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000046,2026-06-20T13:11:22Z,CUST_002925,SES_44064824,mobile,direct,IN,MH,new,2600.0,INR,upi,None,1,authentication_failure,technical,0.04,0.272,0.88,treatment,payment_retry,0.0,0.0,407.96,20.0,1,2600.0,2232.22,968.0,84,v4.1.0-beta,EXP_001
CHK_000047,2026-06-20T13:14:28Z,CUST_001681,SES_33277905,tablet,referral,IN,DL,new,17100.0,INR,upi,None,2,technical_error,technical,0.047,0.315,0.91,treatment,payment_retry,0.0,0.0,2342.32,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000048,2026-06-20T13:18:40Z,CUST_000345,SES_60359566,desktop,referral,IN,KA,new,5550.0,INR,upi,None,2,customer_abandonment,price,0.041,0.416,0.88,treatment,8_percent_discount,0.08,444.0,849.75,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000049,2026-06-20T13:21:23Z,CUST_002449,SES_79842930,mobile,direct,IN,GJ,high_value,48900.0,INR,debit_card,Mastercard,3,customer_abandonment,price,0.07,0.391,0.74,treatment,personalized_offer,0.0,0.0,7809.23,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000050,2026-06-20T13:30:54Z,CUST_000861,SES_26983541,mobile,organic,IN,KA,price_sensitive,4850.0,INR,credit_card,Visa,1,customer_abandonment,price,0.024,0.272,0.77,treatment,urgency_message,0.0,0.0,534.94,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000051,2026-06-20T13:39:48Z,CUST_001710,SES_21456972,mobile,organic,IN,GJ,high_value,59100.0,INR,credit_card,Mastercard,1,customer_abandonment,price,0.062,0.34,0.78,treatment,personalized_offer,0.0,0.0,7892.32,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000052,2026-06-20T13:44:47Z,CUST_001664,SES_47192803,desktop,paid_search,IN,KA,returning,5800.0,INR,credit_card,Mastercard,1,customer_abandonment,price,0.078,0.328,0.78,treatment,personalized_offer,0.0,0.0,866.74,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000053,2026-06-20T13:46:26Z,CUST_000986,SES_23337624,mobile,organic,IN,TG,returning,7200.0,INR,upi,None,1,authentication_failure,technical,0.085,0.348,0.92,treatment,payment_retry,0.0,0.0,883.92,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000054,2026-06-20T13:53:28Z,CUST_002281,SES_12029975,desktop,social,IN,KA,price_sensitive,2400.0,INR,upi,None,1,customer_abandonment,price,0.03,0.353,0.88,treatment,4_percent_discount,0.04,96.0,415.48,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000055,2026-06-20T13:56:29Z,CUST_000611,SES_39403506,mobile,email,IN,UP,returning,3500.0,INR,debit_card,Visa,1,insufficient_funds,payment,0.055,0.346,0.94,treatment,alternative_payment,0.0,0.0,493.48,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000056,2026-06-20T13:56:55Z,CUST_002192,SES_30320100,desktop,email,IN,GJ,returning,11900.0,INR,credit_card,Visa,3,customer_abandonment,price,0.086,0.096,0.86,control,none,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,,v4.1.0-beta,EXP_001
CHK_000057,2026-06-20T14:10:45Z,CUST_000365,SES_73650651,mobile,direct,IN,KA,returning,1200.0,INR,wallet,None,1,insufficient_funds,payment,0.055,0.268,0.83,treatment,alternative_payment,0.0,0.0,162.92,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000058,2026-06-20T14:22:15Z,CUST_001563,SES_74428572,tablet,social,IN,TG,new,6950.0,INR,upi,None,1,technical_error,technical,0.039,0.262,0.85,treatment,payment_retry,0.0,0.0,814.72,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000059,2026-06-20T14:44:15Z,CUST_000689,SES_65015483,mobile,social,IN,TN,new,3450.0,INR,debit_card,Visa,3,authentication_failure,technical,0.048,0.059,0.85,control,none,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,,v4.1.0-beta,EXP_001
CHK_000060,2026-06-20T15:28:31Z,CUST_001890,SES_66719254,mobile,paid_search,IN,GJ,price_sensitive,3050.0,INR,upi,None,1,technical_error,technical,0.032,0.326,0.94,treatment,payment_retry,0.0,0.0,433.0,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000061,2026-06-20T15:34:34Z,CUST_001564,SES_48141295,tablet,social,IN,MH,price_sensitive,3250.0,INR,upi,None,3,technical_error,technical,0.044,0.314,0.93,treatment,payment_retry,0.0,0.0,418.04,20.0,1,3250.0,2828.63,1215.0,198,v4.1.0-beta,EXP_001
CHK_000062,2026-06-20T16:19:51Z,CUST_000640,SES_46117716,mobile,paid_search,IN,TN,price_sensitive,1550.0,INR,upi,None,2,authentication_failure,technical,0.045,0.297,0.84,treatment,payment_retry,0.0,0.0,209.69,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000063,2026-06-20T16:20:42Z,CUST_001033,SES_74682420,mobile,paid_search,IN,MH,price_sensitive,1100.0,INR,upi,None,1,insufficient_funds,payment,0.012,0.442,0.91,treatment,alternative_payment,0.0,0.0,169.02,20.0,1,1100.0,1045.0,398.0,215,v4.1.0-beta,EXP_001
CHK_000064,2026-06-20T16:21:04Z,CUST_002096,SES_85024741,mobile,direct,IN,MH,returning,2900.0,INR,debit_card,RuPay,1,bank_decline,payment,0.055,0.342,0.84,treatment,alternative_payment,0.0,0.0,551.32,20.0,1,2900.0,2505.94,1082.0,107,v4.1.0-beta,EXP_001
CHK_000065,2026-06-20T16:24:07Z,CUST_001487,SES_48446562,mobile,organic,IN,GJ,returning,6100.0,INR,upi,None,1,authentication_failure,technical,0.085,0.385,0.94,treatment,payment_retry,0.0,0.0,775.79,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000066,2026-06-20T16:26:03Z,CUST_001439,SES_54285283,mobile,organic,IN,TG,new,1350.0,INR,credit_card,Visa,1,customer_abandonment,price,0.027,0.322,0.85,treatment,8_percent_discount,0.08,108.0,203.22,25.0,0,0.0,0.0,-25.0,,v4.1.0-beta,EXP_001
CHK_000067,2026-06-20T16:39:47Z,CUST_002899,SES_69737434,mobile,referral,IN,MH,new,2050.0,INR,debit_card,RuPay,1,customer_abandonment,price,0.027,0.249,0.76,treatment,personalized_offer,0.0,0.0,264.22,10.0,1,2050.0,1835.92,769.0,202,v4.1.0-beta,EXP_001
CHK_000068,2026-06-20T16:40:24Z,CUST_004354,SES_78209465,mobile,email,IN,DL,returning,1750.0,INR,net_banking,None,1,authentication_failure,technical,0.085,0.089,0.85,control,none,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,,v4.1.0-beta,EXP_001
CHK_000069,2026-06-20T16:44:03Z,CUST_001631,SES_38954256,mobile,email,IN,MH,returning,3050.0,INR,upi,None,1,authentication_failure,technical,0.085,0.374,0.9,treatment,payment_retry,0.0,0.0,553.47,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000070,2026-06-20T16:47:16Z,CUST_000062,SES_33063550,mobile,paid_search,IN,MH,new,4500.0,INR,debit_card,RuPay,1,customer_abandonment,price,0.027,0.369,0.87,treatment,6_percent_discount,0.06,270.0,696.45,25.0,1,4230.0,3906.49,1415.0,388,v4.1.0-beta,EXP_001
CHK_000071,2026-06-20T17:09:54Z,CUST_000181,SES_26316801,mobile,social,IN,UP,new,2950.0,INR,upi,None,3,insufficient_funds,payment,0.018,0.372,0.83,treatment,alternative_payment,0.0,0.0,521.8,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000072,2026-06-20T17:11:54Z,CUST_000492,SES_44334792,mobile,paid_search,IN,MH,price_sensitive,1500.0,INR,debit_card,Mastercard,1,expired_card,payment,0.012,0.212,0.86,treatment,personalized_offer,0.0,0.0,219.78,10.0,1,1500.0,1420.72,560.0,66,v4.1.0-beta,EXP_001
CHK_000073,2026-06-20T17:13:04Z,CUST_000931,SES_94258333,mobile,paid_search,IN,MH,price_sensitive,2250.0,INR,credit_card,Mastercard,1,bank_decline,payment,0.012,0.334,0.89,treatment,alternative_payment,0.0,0.0,376.74,20.0,1,2250.0,2137.5,835.0,757,v4.1.0-beta,EXP_001
CHK_000074,2026-06-20T17:15:50Z,CUST_001797,SES_48638244,mobile,paid_search,IN,GJ,new,16400.0,INR,upi,None,1,authentication_failure,technical,0.04,0.246,0.83,treatment,payment_retry,0.0,0.0,1995.41,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000075,2026-06-20T17:16:44Z,CUST_003452,SES_60059125,mobile,organic,IN,MH,price_sensitive,2250.0,INR,net_banking,None,1,customer_abandonment,price,0.024,0.355,0.84,treatment,4_percent_discount,0.04,90.0,387.26,25.0,1,2160.0,2013.63,740.0,441,v4.1.0-beta,EXP_001
CHK_000076,2026-06-20T17:20:57Z,CUST_000466,SES_86857226,mobile,social,IN,DL,new,1100.0,INR,debit_card,Mastercard,3,customer_abandonment,price,0.035,0.231,0.76,treatment,personalized_offer,0.0,0.0,165.65,10.0,1,1100.0,965.41,408.0,447,v4.1.0-beta,EXP_001
CHK_000077,2026-06-20T17:26:15Z,CUST_000556,SES_75823950,mobile,direct,IN,TN,returning,3800.0,INR,wallet,None,2,technical_error,technical,0.088,0.316,0.86,treatment,payment_retry,0.0,0.0,559.84,20.0,1,3800.0,2834.98,1424.0,367,v4.1.0-beta,EXP_001
CHK_000078,2026-06-20T17:27:03Z,CUST_001957,SES_77648811,mobile,social,IN,TG,new,1350.0,INR,credit_card,Mastercard,2,bank_decline,payment,0.018,0.361,0.91,treatment,alternative_payment,0.0,0.0,231.44,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000079,2026-06-20T17:44:00Z,CUST_000870,SES_74858672,desktop,social,IN,KA,price_sensitive,4750.0,INR,wallet,None,1,customer_abandonment,price,0.03,0.367,0.86,treatment,4_percent_discount,0.04,190.0,843.29,25.0,1,4560.0,4203.27,1590.0,297,v4.1.0-beta,EXP_001
CHK_000080,2026-06-20T17:46:51Z,CUST_000139,SES_83262023,desktop,paid_search,IN,UP,new,5600.0,INR,credit_card,RuPay,2,customer_abandonment,price,0.041,0.047,0.76,control,none,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,,v4.1.0-beta,EXP_001
CHK_000081,2026-06-20T18:07:38Z,CUST_001758,SES_89619184,mobile,organic,IN,UP,new,3550.0,INR,upi,None,1,customer_abandonment,price,0.027,0.2,0.77,treatment,personalized_offer,0.0,0.0,467.24,10.0,1,3550.0,3157.55,1339.0,715,v4.1.0-beta,EXP_001
CHK_000082,2026-06-20T18:15:19Z,CUST_001420,SES_73734705,mobile,organic,IN,TN,new,10800.0,INR,credit_card,Visa,1,expired_card,payment,0.015,0.285,0.9,treatment,payment_retry,0.0,0.0,1470.5,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000083,2026-06-20T18:16:41Z,CUST_003172,SES_26358926,desktop,direct,IN,MH,returning,5300.0,INR,credit_card,Visa,1,customer_abandonment,price,0.078,0.445,0.85,treatment,8_percent_discount,0.08,424.0,877.99,25.0,1,4876.0,4077.28,1565.0,650,v4.1.0-beta,EXP_001
CHK_000084,2026-06-20T18:35:20Z,CUST_000257,SES_38365120,desktop,paid_search,IN,MH,returning,3550.0,INR,wallet,None,2,technical_error,technical,0.088,0.306,0.88,treatment,payment_retry,0.0,0.0,586.91,20.0,0,0.0,0.0,-20.0,,v4.1.0-beta,EXP_001
CHK_000085,2026-06-20T18:38:08Z,CUST_001667,SES_29661661,mobile,email,IN,MH,returning,6300.0,INR,wallet,None,1,customer_abandonment,price,0.072,0.336,0.77,treatment,personalized_offer,0.0,0.0,922.53,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
CHK_000086,2026-06-20T18:40:08Z,CUST_001471,SES_11404082,mobile,organic,IN,DL,new,7100.0,INR,upi,None,1,technical_error,technical,0.035,0.031,0.87,control,none,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,,v4.1.0-beta,EXP_001
CHK_000087,2026-06-20T18:58:34Z,CUST_000560,SES_36593053,mobile,email,IN,DL,high_value,39700.0,INR,credit_card,RuPay,2,customer_abandonment,price,0.07,0.425,0.84,treatment,6_percent_discount,0.06,2382.0,6330.54,25.0,1,37318.0,31039.42,12679.0,136,v4.1.0-beta,EXP_001
CHK_000088,2026-06-20T19:01:13Z,CUST_000145,SES_22025794,mobile,social,IN,TN,price_sensitive,1900.0,INR,credit_card,Visa,2,authentication_failure,technical,0.045,0.331,0.91,treatment,payment_retry,0.0,0.0,225.44,20.0,1,1900.0,1630.69,702.0,375,v4.1.0-beta,EXP_001
CHK_000089,2026-06-20T19:02:35Z,CUST_004376,SES_96261055,desktop,organic,IN,GJ,returning,1300.0,INR,upi,None,1,authentication_failure,technical,0.088,0.353,0.88,treatment,payment_retry,0.0,0.0,169.73,20.0,1,1300.0,960.5,474.0,415,v4.1.0-beta,EXP_001
CHK_000090,2026-06-20T19:06:05Z,CUST_001397,SES_86586386,mobile,direct,IN,KA,returning,11800.0,INR,debit_card,Visa,3,insufficient_funds,payment,0.063,0.368,0.95,treatment,personalized_offer,0.0,0.0,1723.1,10.0,0,0.0,0.0,-10.0,,v4.1.0-beta,EXP_001
